slit_position_mm	f_cup_charge
50.0	3.3741286473344847e-06
50.0	3.3741286473344847e-06
-47.97979797979798	10.099953320944602
-47.97979797979798	10.099953320944602
-45.95959595959596	10.100047248470474
-45.95959595959596	10.100047248470474
-43.93939393939394	10.09998914073573
-43.93939393939394	10.09998914073573
-41.91919191919192	10.100004511312804
-41.91919191919192	10.100004511312804
-39.898989898989896	10.10002588913447
-39.898989898989896	10.10002588913447
-37.878787878787875	10.10004981433347
-37.878787878787875	10.10004981433347
-35.858585858585855	10.099963119247592
-35.858585858585855	10.099963119247592
-33.838383838383834	10.09999199855183
-33.838383838383834	10.09999199855183
-31.818181818181817	10.099960998253017
-31.818181818181817	10.099960998253017
-29.797979797979796	10.10002275071195
-29.797979797979796	10.10002275071195
-27.777777777777775	10.099977335126399
-27.777777777777775	10.099977335126399
-25.757575757575758	10.100046368212151
-25.757575757575758	10.100046368212151
-23.737373737373737	10.100039218431906
-23.737373737373737	10.100039218431906
-21.717171717171716	10.099987439466448
-21.717171717171716	10.099987439466448
-19.696969696969695	10.099980621827877
-19.696969696969695	10.099980621827877
-17.676767676767675	10.099982190074664
-17.676767676767675	10.099982190074664
-15.656565656565654	10.100027721324137
-14.646464646464644	10.099978500394208
-13.636363636363633	10.10001433058226
-13.636363636363633	10.10001433058226
-11.616161616161612	10.099891211255953
-11.616161616161612	10.099891211255953
-9.595959595959592	10.097871569065427
-9.595959595959592	10.097871569065427
-7.575757575757571	10.073087134439401
-7.575757575757571	10.073087134439401
-5.55555555555555	9.893038662050591
-5.55555555555555	9.893038662050591
-3.5353535353535293	9.123370384410407
-3.5353535353535293	9.123370384410407
-1.5151515151515156	7.184883853899598
-1.5151515151515156	7.184883853899598
0.5050505050505052	4.3056127171144265
0.5050505050505052	4.3056127171144265
2.525252525252526	1.7821017850665997
2.525252525252526	1.7821017850665997
4.545454545454547	0.4771663099413484
4.545454545454547	0.4771663099413484
6.5656565656565675	0.07942125460448905
6.5656565656565675	0.07942125460448905
8.585858585858588	0.007990355436089183
8.585858585858588	0.007990355436089183
10.606060606060609	0.0005298248410755264
10.606060606060609	0.0005298248410755264
12.62626262626263	2.3429326215855315e-05
13.63636363636364	1.5812139638376786e-05
13.63636363636364	1.5812139638376786e-05
15.656565656565661	-4.0087865537608326e-05
15.656565656565661	-4.0087865537608326e-05
17.676767676767682	1.3522545061479238e-05
17.676767676767682	1.3522545061479238e-05
17.676767676767682	1.3522545061479238e-05
20.707070707070713	0.0008409721990175665
20.707070707070713	0.0008409721990175665
22.727272727272734	0.008345131862961678
22.727272727272734	0.008345131862961678
24.747474747474755	0.04594800860839182
24.747474747474755	0.04594800860839182
26.767676767676775	0.14657798295204508
26.767676767676775	0.14657798295204508
28.787878787878796	0.26910139022078816
28.787878787878796	0.26910139022078816
30.808080808080817	0.2843785848609485
31.818181818181827	0.23760401575439258
31.818181818181827	0.23760401575439258
33.83838383838385	0.10967497531962747
33.83838383838385	0.10967497531962747
33.83838383838385	0.10967497531962747
33.83838383838385	0.10967497531962747
37.87878787878789	0.004458389146393501
37.87878787878789	0.004458389146393501
39.89898989898991	0.00038021385105656925
39.89898989898991	0.00038021385105656925
41.91919191919193	-2.6041066618546834e-05
41.91919191919193	-2.6041066618546834e-05
43.93939393939395	4.032817088402632e-05
43.93939393939395	4.032817088402632e-05
45.95959595959597	2.4442511854275643e-05
45.95959595959597	2.4442511854275643e-05
47.97979797979798	4.641222186415987e-05
47.97979797979798	4.641222186415987e-05
50.0	2.7392192614906666e-06
